CÓDIGO;Tipología ORG
NS-0001;TIPO A
NS-0002;TIPO A
NS-0003;TIPO C
NS-0004;TIPO A
NS-0005;TIPO A
NS-0006;TIPO A
NS-0007;TIPO A
NS-0008;TIPO C
NS-0009;TIPO A
NS-0010;TIPO A
NS-0011;TIPO A
NS-0012;TIPO A
NS-0013;TIPO A
NS-0014;TIPO A
NS-0015;TIPO A
NS-0016;TIPO A
NS-0017;TIPO A
NS-0018;TIPO A
NS-0019;TIPO A
NS-0020;TIPO A
NS-0021;TIPO A
NS-0022;TIPO A
NS-0023;TIPO A
NS-0024;TIPO A
NS-0025;TIPO A
NS-0026;TIPO A
NS-0027;TIPO A
NS-0028;TIPO A
NS-0029;TIPO A
NS-0030;TIPO A
NS-0031;TIPO A
NS-0921;TIPO A
NS-0356;TIPO A
NS-0531;TIPO A
NS-1038;TIPO A
NS-1039;TIPO A
NS-1048;TIPO A
NS-0918;TIPO A
NS-0920;TIPO A
CH-0085;TIPO A
CH-0086;TIPO C
CH-0087;TIPO A
CH-0088;TIPO A
CH-0089;TIPO A
CH-0090;TIPO C
CH-0091;TIPO C
CH-0092;TIPO A
CH-0093;TIPO C
CH-0094;TIPO A
CH-0095;TIPO C
CH-0096;TIPO A
CH-0097;TIPO C
CH-0098;TIPO C
CH-0099;TIPO A
CH-0100;TIPO A
CH-0101;TIPO A
CH-0102;TIPO A
CH-0103;TIPO A
CH-0104;TIPO A
CH-0105;TIPO A
CH-0106;TIPO A
CH-0107;TIPO A
CH-0108;TIPO A
CH-0109;TIPO A
CH-0110;TIPO A
CH-0111;TIPO A
CH-0112;TIPO A
CH-0113;TIPO A
CH-0114;TIPO A
CH-0115;TIPO A
CH-0116;TIPO A
CH-0117;TIPO A
CH-0118;TIPO A
CH-0119;TIPO A
CH-0120;TIPO A
CH-0121;TIPO A
CH-0122;TIPO A
CH-0124;TIPO A
CH-0125;TIPO A
CH-0126;TIPO A
CH-0127;TIPO A
CH-0128;TIPO A
CH-0129;TIPO A
CH-0130;TIPO A
CH-0131;TIPO A
CH-0132;TIPO A
CH-0133;TIPO A
CH-0134;TIPO A
CH-0135;TIPO B
CH-0136;TIPO B
CH-0137;TIPO A
CH-0138;TIPO A
CH-0139;TIPO A
CH-0140;TIPO A
CH-0141;TIPO A
CH-0142;TIPO A
CH-0143;TIPO A
CH-0144;TIPO A
CH-0145;TIPO A
CH-0146;TIPO A
CH-0147;TIPO A
CH-0148;TIPO A
CH-0149;TIPO A
CH-0150;TIPO A
CH-0151;TIPO A
CH-0152;TIPO A
CH-0153;TIPO A
CH-0154;TIPO A
CH-0155;TIPO A
CH-0156;TIPO A
CH-0157;TIPO A
CH-0158;TIPO A
CH-0159;TIPO A
CH-0160;TIPO A
CH-0161;TIPO A
CH-0162;TIPO A
CH-0163;TIPO A
CH-0164;TIPO A
CH-0165;TIPO A
CH-0166;TIPO A
CH-0167;TIPO A
CH-0168;TIPO A
CH-0169;TIPO A
CH-0170;TIPO A
CH-0171;TIPO A
CH-0172;TIPO A
CH-0173;TIPO A
CH-0174;TIPO A
CH-0175;TIPO A
CH-0176;TIPO A
CH-0177;TIPO A
CH-0178;TIPO A
CH-0179;TIPO A
CH-0180;TIPO A
CH-0181;TIPO A
CH-0182;TIPO A
CH-0183;TIPO A
CH-0184;TIPO A
CH-0185;TIPO A
CH-0186;TIPO A
CH-0187;TIPO A
CH-0188;TIPO A
CH-0189;TIPO C
CH-0190;TIPO C
CH-0191;TIPO A
CH-0192;TIPO A
CH-0193;TIPO A
CH-0194;TIPO A
CH-0195;TIPO A
CH-0196;TIPO A
CH-0197;TIPO A
CH-0198;TIPO A
CH-0199;TIPO A
CH-0200;TIPO A
CH-0201;TIPO C
CH-0202;TIPO C
CH-0203;TIPO C
CH-0204;TIPO C
CH-0205;TIPO C
CH-0206;TIPO C
CH-0207;TIPO C
CH-0208;TIPO C
CH-0209;TIPO C
CH-0210;TIPO C
CH-0211;TIPO C
CH-0212;TIPO C
CH-0213;TIPO C
CH-0214;TIPO C
CH-0215;TIPO C
CH-0216;TIPO C
CH-0217;TIPO C
CH-0218;TIPO C
CH-0219;TIPO C
CH-0220;TIPO C
CH-0221;TIPO C
CH-0222;TIPO C
CH-0223;TIPO C
CH-0224;TIPO C
CH-0225;TIPO C
CH-0226;TIPO C
CH-0227;TIPO C
CH-0228;TIPO C
CH-0229;TIPO C
CH-0230;TIPO C
CH-0231;TIPO C
CH-0232;TIPO C
CH-0233;TIPO C
CH-0234;TIPO C
CH-0235;TIPO C
CH-0236;TIPO C
CH-0237;TIPO C
CH-0238;TIPO C
CH-0239;TIPO A
CH-0240;TIPO A
CH-0241;TIPO A
CH-0242;TIPO A
CH-0243;TIPO A
CH-0244;TIPO A
CH-0245;TIPO A
CH-0246;TIPO A
CH-0247;TIPO A
CH-0248;TIPO A
CH-0249;TIPO A
CH-0250;TIPO A
CH-0251;TIPO A
CH-0252;TIPO A
CH-0253;TIPO A
CH-0254;TIPO A
CH-0255;TIPO A
CH-0256;TIPO A
CH-0257;TIPO A
CH-0258;TIPO A
CH-0259;TIPO A
CH-0260;TIPO B
CH-0261;TIPO A
CH-0262;TIPO A
CH-0263;TIPO A
CH-0264;TIPO A
CH-0265;TIPO A
CH-0266;TIPO A
CH-0267;TIPO C
CH-0268;TIPO A
CH-0269;TIPO A
CH-0270;TIPO A
CH-0271;TIPO A
CH-0272;TIPO A
CH-0273;TIPO A
CH-0274;TIPO A
CH-0275;TIPO A
CH-0276;TIPO A
CH-0277;TIPO A
CH-0278;TIPO A
CH-0279;TIPO A
CH-0280;TIPO A
CH-0281;TIPO A
CH-0282;TIPO A
CH-0283;TIPO A
CH-0284;TIPO A
CH-0285;TIPO A
CH-0286;TIPO A
CH-0287;TIPO A
CH-0288;TIPO A
CH-0289;TIPO A
CH-0290;TIPO A
CH-0291;TIPO A
CH-0292;TIPO A
CH-0293;TIPO A
CH-0294;TIPO A
CH-0295;TIPO A
CH-0296;TIPO A
CH-0297;TIPO A
CH-0298;TIPO A
CH-0299;TIPO A
CH-0300;TIPO A
CH-0301;TIPO A
CH-0302;TIPO A
CH-0303;TIPO A
CH-0304;TIPO A
CH-0305;TIPO A
CH-0306;TIPO A
CH-0307;TIPO A
CH-0308;TIPO A
CH-0309;TIPO A
CH-0310;TIPO A
CH-0311;TIPO A
CH-0312;TIPO A
CH-0313;TIPO C
CH-0314;TIPO A
CH-0315;TIPO A
CH-0316;TIPO C
CH-0317;TIPO C
CH-0318;TIPO A
CH-0319;TIPO A
CH-0320;TIPO A
CH-0321;TIPO A
CH-0322;TIPO C
CH-0323;TIPO A
CH-0324;TIPO C
CH-0325;TIPO C
CH-0326;TIPO C
CH-0327;TIPO A
CH-0328;TIPO A
CH-0329;TIPO A
CH-0330;TIPO A
CH-0331;TIPO A
CH-0332;TIPO A
CH-0333;TIPO A
CH-0334;TIPO A
CH-0335;TIPO A
CH-0336;TIPO A
CH-0337;TIPO A
CH-0338;TIPO A
CH-0339;TIPO A
CH-0340;TIPO A
CH-0341;TIPO A
CH-0342;TIPO A
CH-0343;TIPO A
CH-0344;TIPO A
CH-0345;TIPO A
CH-0346;TIPO A
CH-0347;TIPO A
CH-0348;TIPO A
CH-0349;TIPO A
CH-0350;TIPO A
CH-0351;TIPO A
CH-0352;TIPO A
CH-0353;TIPO A
CH-0354;TIPO A
CH-0355;TIPO A
CH-0357;TIPO A
CH-0358;TIPO A
CH-0360;TIPO A
CH-0361;TIPO A
CH-0362;TIPO A
CH-0363;TIPO A
CH-0365;TIPO A
CH-0366;TIPO A
CH-0367;TIPO A
CH-0368;TIPO A
CH-0370;TIPO A
CH-0371;TIPO A
CH-0372;TIPO A
CH-0373;TIPO A
CH-0374;TIPO A
CH-0375;TIPO A
CH-0376;TIPO A
CH-0377;TIPO A
CH-0378;TIPO A
CH-0379;TIPO A
CH-0380;TIPO A
CH-0381;TIPO A
CH-0382;TIPO A
CH-0383;TIPO A
CH-0384;TIPO A
CH-0385;TIPO A
CH-0386;TIPO A
CH-0387;TIPO A
CH-0388;TIPO A
CH-0389;TIPO A
CH-0390;TIPO A
CH-0391;TIPO A
CH-0392;TIPO A
CH-0393;TIPO A
CH-0394;TIPO A
CH-0395;TIPO A
CH-0396;TIPO A
CH-0397;TIPO A
CH-0398;TIPO A
CH-0400;TIPO A
CH-0401;TIPO A
CH-0402;TIPO A
CH-0403;TIPO A
CH-0404;TIPO A
CH-0405;TIPO A
CH-0406;TIPO A
CH-0407;TIPO A
CH-0408;TIPO A
CH-0409;TIPO A
CH-0410;TIPO A
CH-0411;TIPO A
CH-0412;TIPO A
CH-0413;TIPO A
CH-0414;TIPO A
CH-0415;TIPO A
CH-0416;TIPO A
CH-0417;TIPO A
CH-0418;TIPO A
CH-0420;TIPO A
CH-0421;TIPO A
CH-0422;TIPO A
CH-0423;TIPO A
CH-0424;TIPO A
CH-0425;TIPO A
CH-0426;TIPO A
CH-0427;TIPO A
CH-0428;TIPO A
CH-0429;TIPO A
CH-0430;TIPO A
CH-0431;TIPO A
CH-0432;TIPO A
CH-0433;TIPO A
CH-0434;TIPO A
CH-0435;TIPO A
CH-0436;TIPO A
CH-0437;TIPO A
CH-0438;TIPO A
CH-0439;TIPO A
CH-0440;TIPO A
CH-0441;TIPO A
CH-0442;TIPO A
CH-0443;TIPO A
CH-0444;TIPO A
CH-0445;TIPO A
CH-0446;TIPO A
CH-0447;TIPO A
CH-0448;TIPO A
CH-0449;TIPO A
CH-0450;TIPO A
CH-0451;TIPO A
CH-0452;TIPO A
CH-0453;TIPO A
CH-0454;TIPO A
CH-0455;TIPO A
CH-0456;TIPO A
CH-0457;TIPO A
CH-0458;TIPO A
CH-0459;TIPO A
CH-0460;TIPO A
CH-0461;TIPO A
CH-0462;TIPO A
CH-0463;TIPO A
CH-0464;TIPO A
CH-0465;TIPO A
CH-0466;TIPO A
CH-0467;TIPO A
CH-0468;TIPO A
CH-0469;TIPO A
CH-0470;TIPO A
CH-0471;TIPO A
CH-0472;TIPO A
CH-0473;TIPO A
CH-0474;TIPO A
CH-0475;TIPO A
CH-0476;TIPO A
CH-0477;TIPO A
CH-0478;TIPO A
CH-0479;TIPO A
CH-0480;TIPO A
CH-0481;TIPO A
CH-0482;TIPO A
CH-0483;TIPO A
CH-0484;TIPO A
CH-0485;TIPO A
CH-0486;TIPO A
CH-0487;TIPO A
CH-0488;TIPO A
CH-0489;TIPO A
CH-0490;TIPO A
CH-0491;TIPO A
CH-0492;TIPO A
CH-0493;TIPO A
CH-0494;TIPO A
CH-0495;TIPO A
CH-0496;TIPO C
CH-0497;TIPO A
CH-0498;TIPO A
CH-0499;TIPO A
CH-0501;TIPO A
CH-0502;TIPO A
CH-0503;TIPO A
CH-0504;TIPO A
CH-0505;TIPO A
CH-0506;TIPO A
CH-0507;TIPO A
CH-0508;TIPO A
CH-0509;TIPO A
CH-0510;TIPO A
CH-0511;TIPO A
CH-0512;TIPO A
CH-0513;TIPO A
CH-0514;TIPO A
CH-0515;TIPO A
CH-0516;TIPO A
CH-0517;TIPO A
CH-0518;TIPO A
CH-0519;TIPO A
CH-0520;TIPO A
CH-0521;TIPO A
CH-0522;TIPO A
CH-0523;TIPO A
CH-0524;TIPO A
CH-0525;TIPO A
CH-0526;TIPO A
CH-0527;TIPO A
CH-0528;TIPO A
CH-0529;TIPO A
CH-0530;TIPO A
CH-0532;TIPO A
CH-0533;TIPO A
CH-0534;TIPO A
CH-0679;TIPO A
CA-0032;TIPO A
CA-0033;TIPO A
CA-0034;TIPO A
CA-0035;TIPO A
CA-0036;TIPO A
CA-0037;TIPO A
CA-0038;TIPO A
CA-0039;TIPO A
CA-0040;TIPO A
CA-0041;TIPO A
CA-0042;TIPO A
CA-0043;TIPO A
CA-0044;TIPO A
CA-0045;TIPO A
CA-0046;TIPO A
CA-0047;TIPO A
CA-0048;TIPO A
CA-0049;TIPO A
CA-0050;TIPO A
CA-0051;TIPO A
CA-0052;TIPO A
CA-0053;TIPO A
CA-0054;TIPO A
CA-0055;TIPO A
CA-0056;TIPO A
CA-0057;TIPO A
CA-0058;TIPO C
CA-0059;TIPO A
CA-0060;TIPO A
CA-0061;TIPO C
CA-0062;TIPO A
CA-0063;TIPO A
CA-0064;TIPO A
CA-0065;TIPO C
CA-0066;TIPO A
CA-0067;TIPO A
CA-0068;TIPO A
CA-0069;TIPO A
CA-0070;TIPO A
CA-0071;TIPO A
CA-0072;TIPO A
CA-0073;TIPO A
CA-0074;TIPO A
CA-0075;TIPO A
CA-0076;TIPO A
CA-0077;TIPO A
CA-0078;TIPO A
CA-0079;TIPO A
CA-0080;TIPO A
CA-0081;TIPO A
CA-0082;TIPO A
CA-0083;TIPO A
CA-0708;TIPO A
CA-0719;TIPO A
CA-0359;TIPO A
CA-0364;TIPO A
CA-0369;TIPO A
CU-0535;TIPO A
CU-0536;TIPO A
CU-0537;TIPO A
CU-0538;TIPO A
CU-0539;TIPO A
CU-0540;TIPO A
CU-0541;TIPO A
CU-0542;TIPO A
CU-0543;TIPO A
CU-0544;TIPO A
CU-0545;TIPO A
CU-0546;TIPO A
CU-0547;TIPO A
CU-0548;TIPO A
CU-0549;TIPO A
CU-0551;TIPO A
CU-0552;TIPO A
CU-0553;TIPO A
CU-0554;TIPO A
CU-0555;TIPO A
CU-0556;TIPO A
CU-0557;TIPO A
CU-0558;TIPO A
CU-0559;TIPO A
CU-0560;TIPO A
CU-0561;TIPO A
CU-0562;TIPO A
CU-0563;TIPO A
CU-0564;TIPO A
CU-0565;TIPO A
CU-0566;TIPO A
CU-0567;TIPO A
CU-0568;TIPO A
CU-0569;TIPO A
CU-0570;TIPO A
CU-0571;TIPO A
CU-0572;TIPO A
CU-0573;TIPO A
CU-0574;TIPO A
CU-0575;TIPO A
CU-0576;TIPO A
CU-0577;TIPO A
CU-0578;TIPO A
CU-0579;TIPO A
CU-0580;TIPO A
CU-0581;TIPO A
CU-0582;TIPO A
CU-0583;TIPO A
CU-0584;TIPO A
CU-0585;TIPO A
CU-0586;TIPO A
CU-0587;TIPO A
CU-0588;TIPO A
CU-0589;TIPO A
CU-0590;TIPO A
CU-0591;TIPO A
CU-0592;TIPO A
CU-0593;TIPO A
CU-0594;TIPO A
CU-0595;TIPO A
CU-0596;TIPO A
CU-0597;TIPO A
CU-0598;TIPO A
CU-0599;TIPO A
CU-0600;TIPO A
CU-0601;TIPO A
CU-0602;TIPO A
CU-0603;TIPO A
CU-0604;TIPO A
CU-0605;TIPO A
CU-0606;TIPO A
CU-0607;TIPO B
CU-0608;TIPO A
CU-0609;TIPO A
CU-0610;TIPO A
CU-0611;TIPO A
CU-0612;TIPO A
CU-0613;TIPO A
CU-0614;TIPO A
CU-0615;TIPO A
CU-0616;TIPO A
CU-0618;TIPO A
CU-0619;TIPO A
CU-0620;TIPO A
CU-0621;TIPO A
CU-0622;TIPO A
CU-0623;TIPO A
CU-0624;TIPO A
CU-0625;TIPO A
CU-0628;TIPO A
CU-0629;TIPO A
CU-0630;TIPO A
CU-0631;TIPO A
CU-0632;TIPO A
CU-0633;TIPO C
CU-0634;TIPO A
CU-0635;TIPO A
CU-0636;TIPO A
CU-0637;TIPO A
CU-0638;TIPO A
CU-0639;TIPO A
CU-0640;TIPO A
